municipio,grupo,Sigla,codigo,IDH,valor_pct
Indiaroba,grupoProximidade,SE,2802809,0.58,12.74
Cristinápolis,grupoProximidade,SE,2801702,0.553,8.3
Estância,grupoProximidade,SE,2802106,0.647,8.76
Umbaúba,grupoProximidade,SE,2807600,0.579,12.2
Arauá,grupoProximidade,SE,2800407,0.595,14.11
Tomar do Geru,grupoProximidade,SE,2807501,0.551,7.37
Itabaianinha,grupoProximidade,SE,2803005,0.556,5.67
Santa Luzia do Itanhy,grupoProximidade,SE,2806305,0.545,16.97
Pedrinhas,grupoProximidade,SE,2805109,0.592,9.27
Boquim,grupoProximidade,SE,2800670,0.604,8.07
Salgado,grupoProximidade,SE,2806206,0.609,7.44
Lagarto,grupoProximidade,SE,2803500,0.625,6.26
Riachão do Dantas,grupoProximidade,SE,2805802,0.539,5.99
Simão Dias,grupoProximidade,SE,2807105,0.604,5.02
Poço Verde,grupoProximidade,SE,2805505,0.561,3.25
Tobias Barreto,grupoProximidade,SE,2807402,0.557,6.1
Itapicuru,grupoProximidade,BA,2916500,0.486,5.37
Itaberaba,grupoPropPretos,BA,2914703,0.62,16.41
Passagem Franca do Piauí,grupoPropPretos,PI,2207751,0.561,16.56
Andaraí,grupoPropPretos,BA,2901304,0.555,16.6
Santa Terezinha,grupoPropPretos,PE,2612802,0.593,16.63
Inhambupe,grupoPropPretos,BA,2913705,0.565,16.74
Boninal,grupoPropPretos,BA,2904001,0.612,16.8
Serrinha,grupoPropPretos,RN,2413508,0.592,16.96
Serrinha,grupoPropPretos,BA,2930501,0.634,16.96
Antonina do Norte,grupoPropPretos,CE,2300804,0.599,16.96
Santa Luzia do Itanhy,grupoPropPretos,SE,2806305,0.545,16.97
Itagibá,grupoPropPretos,BA,2915205,0.589,17.05
Buerarema,grupoPropPretos,BA,2904704,0.613,17.16
Riacho Frio,grupoPropPretos,PI,2208858,0.541,17.19
Piraí do Norte,grupoPropPretos,BA,2924678,0.533,17.44
Rosário do Catete,grupoPropPretos,SE,2806107,0.631,17.48
Nova Viçosa,grupoPropPretos,BA,2923001,0.654,17.5
São Felipe,grupoPropPretos,BA,2929107,0.616,17.5
Santa Rosa de Lima,grupoPropPretos,SE,2806503,0.592,17.68
Campinas do Piauí,grupoIDH,PI,2202109,0.544,14.18
Lagoa Real,grupoIDH,BA,2918753,0.545,7.7
Luzilândia,grupoIDH,PI,2205805,0.545,6.06
Boa Vista do Gurupi,grupoIDH,MA,2101970,0.545,6.1
Batalha,grupoIDH,PI,2201507,0.545,3.89
Nova Canaã,grupoIDH,BA,2922706,0.545,11.11
Mirador,grupoIDH,MA,2106706,0.545,5.32
Terezinha,grupoIDH,PE,2615102,0.545,2.21
Santa Luzia do Itanhy,grupoIDH,SE,2806305,0.545,16.97
Dona Inês,grupoIDH,PB,2505709,0.545,4.73
Monção,grupoIDH,MA,2106904,0.546,19.14
Santa Brígida,grupoIDH,BA,2927606,0.546,3.98
São José da Vitória,grupoIDH,BA,2929354,0.546,26.5
Lajedinho,grupoIDH,BA,2919009,0.546,13
Caém,grupoIDH,BA,2905107,0.546,15.15
Cajueiro da Praia,grupoIDH,PI,2202083,0.546,5.7
Benedito Leite,grupoIDH,MA,2101806,0.546,5.17
